phenotype,ccid,genotype,causal_genes
avoidance,CHS 1020,r13h7.2; k03h6.5; k03h6.1; t10e10.3,unknown
avoidance,CHS 1021,f40a3.7; f59b2.13; w10c4.1; d1014.2,f59b2.13
avoidance,CHS 1024,pdfr-1; seb-2; seb-3,pdfr-1
avoidance,CHS 1057,npr-1,npr-1
avoidance,CHS 1103,fmi-1; lat-2; mth-1; mth-2,fmi-1
avoidance,CHS 1127,dmsr-4; dmsr-5; dmsr-6; dmsr-7; dmsr-8,dmsr-7
avoidance,CHS 1157,npr-1; npr-2; npr-3; npr-4;  npr-5; npr-10,npr-1
avoidance,CHS 1223,f38e1.6; f09c6.16; k01a6.6; dop-6; c24a8.6,dop-6
avoidance,CHS 1256,dop-1; dop-2; dop-3; dop-4; dop-5; c24a8.6; dop-6; ser-6,dop-6
avoidance,CHS 10009,flp-12; flp-21; flp-5; flp-24; flp-28,flp-21
avoidance,CHS 1666,pdf-1; pdf-2,"pdf-1, pdf-2"
sensitive,CHS 1021,f40a3.7; f59b2.13; w10c4.1; d1014.2,f59b2.13
sensitive,CHS 1024,pdfr-1; seb-2; seb-3,pdfr-1
sensitive,CHS 1057,npr-1,npr-1
sensitive,CHS 1062,npr-6; npr-7; npr-8,unknown
sensitive,CHS 1120,c01f1.4; f10d7.1; tag-89; fshr-1; pcdr-1,fshr-1
sensitive,CHS 1157,npr-1; npr-2; npr-3; npr-4;  npr-5; npr-10,npr-1
sensitive,CHS 1178,aex-2; aexr-1; aexr-2; aexr-3,aex-2
sensitive,CHS 1179,f49c5.9; c11h1.2; y75b8a.16; y62h9a.1,"c11h1.2, y75b8a.16"
sensitive,CHS 1256,dop-1; dop-2; dop-3; dop-4; dop-5; c24a8.6; dop-6; ser-6,dop-6
sensitive,CHS 10009,flp-12; flp-21; flp-5; flp-24; flp-28,flp-21
sensitive,CHS 10088,nlp-60; nlp-68; nlp-67,unknown
sensitive,CHS 10091,nlp-48; nlp-52; nlp-40; nlp-78,nlp-40
sensitive,CHS 1666,pdf-1; pdf-2,"pdf-1, pdf-2"
resistant,CHS 1025,frpr-7; frpr-8; frpr-9; frpr-10,"frpr-9, frpr-10"
resistant,CHS 1040,nmur-1; nmur-2; nmur-3; nmur-4,nmur-1
resistant,CHS 1101,sra-17; sra-18; sra-20; sra-21; sra-22; sra-23; sra-24; sra-25; sra-26,unknown
resistant,CHS 1103,fmi-1; lat-2; mth-1; mth-2,fmi-1
resistant,CHS 1237,sri-10; sri-11; sri-12; sri-13; sri-14; sri-15; sri-16; sri-17; sri-6; sri-7; sri-9,unknown
resistant,CHS 1270,sri-57; sri-61; sri-62; sri-63; sri-65; sri-78; sri-54; sri-60; y27f2a.11,unknown
resistant,CHS 10149,nlp-12; nlp-39; capa-1; nlp-6,capa-1
resistant,CHS 10119,nlp-58; nlp-15; nlp-14; nlp-47,unknown
